com.github.tchx84.Flatseal	flathub	system
com.ml4w.dotfilesinstaller	flathub	system
com.plexamp.Plexamp	flathub	system
com.rtosta.zapzap	flathub	system
com.synology.SynologyDrive	flathub	system
